index,x,y,z
0,0.749894,0.830004,0.000000
1,0.734343,0.716832,0.009799
2,0.691231,0.612785,0.001016
3,0.661555,0.528377,-0.008790
4,0.656894,0.461805,-0.023561
5,0.657980,0.613843,-0.046249
6,0.551144,0.581398,-0.064985
7,0.493550,0.567924,-0.072819
8,0.450522,0.557470,-0.077916
9,0.643850,0.675228,-0.062626
10,0.527218,0.632125,-0.081314
11,0.463616,0.610428,-0.087638
12,0.419303,0.595505,-0.093207
13,0.630165,0.740478,-0.075037
14,0.525411,0.691880,-0.089431
15,0.465156,0.664052,-0.093160
16,0.421534,0.642320,-0.096935
17,0.618538,0.804531,-0.084901
18,0.534660,0.754082,-0.097879
19,0.491098,0.727438,-0.099672
20,0.455197,0.704455,-0.100805
