index,x,y,z
0,0.700322,0.833025,0.000000
1,0.650434,0.791640,-0.017126
2,0.618135,0.725409,-0.020101
3,0.646058,0.665466,-0.020300
4,0.688240,0.643242,-0.020593
5,0.624578,0.611772,-0.015134
6,0.577122,0.523788,-0.028324
7,0.553222,0.471270,-0.035985
8,0.534582,0.421080,-0.042053
9,0.667878,0.595772,-0.024107
10,0.644850,0.480651,-0.043716
11,0.632814,0.408844,-0.053790
12,0.623520,0.344855,-0.057211
13,0.708044,0.607988,-0.036219
14,0.709516,0.506742,-0.068268
15,0.701175,0.439020,-0.087339
16,0.693548,0.369980,-0.094508
17,0.746547,0.654956,-0.048167
18,0.730663,0.584003,-0.068175
19,0.710126,0.619459,-0.062177
20,0.698479,0.669819,-0.055571
