index,x,y,z
0,0.764975,0.816694,0.000000
1,0.746092,0.707767,0.005700
2,0.699724,0.606344,-0.004863
3,0.666780,0.524171,-0.015607
4,0.660321,0.458277,-0.030957
5,0.668850,0.611638,-0.051238
6,0.558966,0.587079,-0.071238
7,0.500198,0.578432,-0.079537
8,0.455533,0.572640,-0.084479
9,0.656720,0.674380,-0.065550
10,0.534639,0.640261,-0.085458
11,0.468538,0.623685,-0.092591
12,0.420914,0.613181,-0.098372
13,0.643865,0.738958,-0.075807
14,0.535552,0.697219,-0.090820
15,0.474684,0.674391,-0.094223
16,0.430424,0.658255,-0.097067
17,0.630988,0.800443,-0.083873
18,0.545524,0.752099,-0.095855
19,0.503043,0.726025,-0.096134
20,0.468774,0.705267,-0.095761
