index,x,y,z
0,0.740890,0.857616,0.000000
1,0.731796,0.736641,-0.000276
2,0.689745,0.630855,-0.010339
3,0.661236,0.538411,-0.019505
4,0.656483,0.468668,-0.031527
5,0.633320,0.635983,-0.042102
6,0.531948,0.597631,-0.057617
7,0.475602,0.578260,-0.065448
8,0.430888,0.562798,-0.070936
9,0.607218,0.700265,-0.050882
10,0.496314,0.658230,-0.066197
11,0.434967,0.634021,-0.073929
12,0.390830,0.614674,-0.080414
13,0.589020,0.767142,-0.056469
14,0.491060,0.723721,-0.066845
15,0.434031,0.698672,-0.072981
16,0.392738,0.681155,-0.078768
17,0.579321,0.826171,-0.060909
18,0.506242,0.783064,-0.069689
19,0.465193,0.765981,-0.071834
20,0.429885,0.752478,-0.073031
